معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0042-RAB-001-0001,0042-001,0042,regular,completed,31-Mar-2024,09:00,31-Mar-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,3-Mar-2024,09:00,3-Mar-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,1-Nov-2024,09:00,1-Nov-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,18-Jun-2025,09:00,18-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,20-Feb-25,09:00,20-Feb-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,13-Feb-24,09:00,13-Feb-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,1-Aug-2024,09:00,1-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,1-Jun-2024,09:00,1-Jun-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,27-Nov-2024,09:00,27-Nov-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-001-0001,0002-001,0002,regular,completed,10-Feb-25,09:00,10-Feb-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-002-0002,0002-002,0002,regular,completed,1-Aug-2024,09:00,1-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-001-0001,0002-001,0002,regular,completed,18-May-2024,09:00,18-May-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0002-JED-002-0002,0002-002,0002,regular,completed,6-Aug-24,09:00,6-Aug-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
