Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
مصنع الكيماويات الصناعية ,,الصناعية الثالثة,جدة,10-Apr-25,1-Jun-24,9/1/2024,3/3/2024,7/25/2024,2/24/2025,2/24/2024,,,,,,,,,,,,,,,,,,,,,,,
شركة ناسكو العربية لوساطة اعادة التامين ,,مبنى ريل,جدة,3/3/2024,11/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مركز تناغم الحياة,,حي الفيصلية,جدة,4/1/2024,24-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الفيحاء - رجال,جدة,22-Jan-2024,22-Jul-2024,22-Jul-2024,23-Jun-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الخالدية - رجال ,جدة,22-Jan-2024,22-Jul-2024,1-Feb-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,المحمدية - رجال,جدة,22-Jan-2024,1-Jul-2024,25-Jun-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الصفا - رجال,جدة,22-Jan-2024,1-Jul-2024,25-Jun-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الشاطئ - رجال,جدة,30-Dec-2024,22-Jan-2024,1-Jul-2024,6-Jul-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الأمير فواز - نساء,جدة,22-Jan-2024,13-Jul-2024,1-Feb-2025,25-Jun-2025,7-Jun-2025,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الفيحاء - نساء,جدة,22-Jan-2024,22-Jul-2024,28-Dec-2024,23-Jun-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الحمدانية - نساء,جدة,21-Jan-2025,22-Jan-2024,1-Aug-2024,8-Jul-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,المحمدية - نساء,جدة,1-Dec-2024,1-May-2024,22-Jan-2024,8-Jul-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,النسيم - نساء,جدة,17-Jan-2024,9-Jul-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الصفا - نساء,جدة,22-Jan-2024,13-Jul-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,السامر- نساء,جدة,22-Jan-2024,22-Jul-2024,28-Dec-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,ابحر الشمالية -نساء,جدة,22-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,ابحر الشمالية -رجال,جدة,22-Jan-2024,22-Jul-2024,30-Dec-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الإدارة,جدة,3-Mar-2024,5-Aug-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة هلا للخدمات المساندة مستودع B,,الصناعية -3,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عيادة الدكتور عمر العامودي,,مركز الورود التجاري,جدة,4/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مجمع بن رشد الطبية,,شارع التحلية,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مصنع المرام للمستلزمات الطبية,,الصناعية -3,جدة,6/1/2024,5/19/2024,4/4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ترنكيلا كافي,,هيفاء مول,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
