معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,مدة الزيارة (دقائق),الفريق المختص,الفني المختص,صيانة الطفايات,صيانة نظام الإنذار,صيانة نظام الإطفاء,نظام الغاز,نظام الفوم,النتيجة العامة,المشاكل المكتشفة,التوصيات,تاريخ الزيارة القادمة,ملاحظات,تم الإنشاء بواسطة
0005-JED-001-0001,0005-001,0005,regular,completed,01-Aug-24,09:00,01-Aug-24,11:30,150,,,,,,,,passed,,,,,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,03-Mar-24,09:00,03-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,01-Aug-24,09:00,01-Aug-24,11:30,150,,,,,,,,passed,,,,,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,01-May-24,09:00,01-May-24,11:30,150,,,,,,,,passed,,,,,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,17-Feb-25,09:00,17-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,11-Dec-24,09:00,11-Dec-24,11:30,150,,,,,,,,passed,,,,,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,10-Apr-25,09:00,10-Apr-25,11:30,150,,,,,,,,passed,,,,,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,01-Jun-24,09:00,01-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,01-Sep-24,09:00,01-Sep-24,11:30,150,,,,,,,,passed,,,,,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,03-Mar-24,09:00,03-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,25-Jul-24,09:00,25-Jul-24,11:30,150,,,,,,,,passed,,,,,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,24-Feb-25,09:00,24-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,24-Feb-24,09:00,24-Feb-24,11:30,150,,,,,,,,passed,,,,,system-import
0043-JED-001-0001,0043-001,0043,regular,completed,03-Mar-24,09:00,03-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0043-JED-001-0001,0043-001,0043,regular,completed,01-Nov-24,09:00,01-Nov-24,11:30,150,,,,,,,,passed,,,,,system-import
