معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0001-JED-001-0001,0001-001,0001,regular,completed,19-10-2024,09:00,19-10-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-04-2024,09:00,01-04-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,11-11-2024,09:00,11-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,30-06-2025,09:00,30-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-05-2024,09:00,01-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,17-02-2025,09:00,17-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,11-12-2024,09:00,11-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,11-09-2024,09:00,11-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,05-02-2025,09:00,05-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-02-2025,09:00,27-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-03-2025,09:00,27-03-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-04-2025,09:00,27-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,26-01-2025,09:00,26-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
